hx_vol_mult,yycs_vol_mult,jzjq_spread,jzjq_vol_mult,stop_loss_pct,total_return,n_trades,win_rate,avg_ret_per_trade,score
1.5,1.5,0.015,2.0,0.1,3.12,4.9,33.0,3.98,5.2934
1.5,1.5,0.015,2.5,0.06,1.98,5.6,26.0,3.37,4.2462
1.5,1.5,0.015,2.5,0.08,2.38,5.1,30.0,3.39,4.407
1.5,1.5,0.015,2.5,0.1,2.63,4.8,33.0,3.5,4.655
1.5,1.5,0.02,1.5,0.06,2.37,6.1,28.0,3.81,4.8768
1.5,1.5,0.02,1.5,0.08,2.82,5.6,32.0,4.0,5.28
1.5,1.5,0.02,1.5,0.1,3.02,5.3,34.0,4.01,5.3734
1.5,1.5,0.02,2.0,0.06,2.43,5.7,27.0,3.74,4.7498
1.5,1.5,0.02,2.0,0.08,2.8,5.2,31.0,3.8,4.978
1.5,1.5,0.02,2.0,0.1,2.97,5.0,33.0,3.79,5.0407
1.5,1.5,0.02,2.5,0.06,1.95,5.6,26.0,3.37,4.2462
1.5,1.5,0.02,2.5,0.08,2.36,5.1,30.0,3.36,4.368
1.5,1.5,0.02,2.5,0.1,2.6,4.9,33.0,3.43,4.5619
1.5,2.0,0.01,1.5,0.06,2.93,4.8,28.0,4.38,5.6064
1.5,2.0,0.01,1.5,0.08,3.39,4.5,32.0,4.49,5.9268
1.5,2.0,0.01,1.5,0.1,3.55,4.3,34.0,4.45,5.963
1.5,2.0,0.01,2.0,0.06,3.06,4.4,28.0,5.0,6.4
1.5,2.0,0.01,2.0,0.08,3.17,4.2,33.0,4.52,6.0116
1.5,2.0,0.01,2.0,0.1,3.3,4.1,34.0,4.41,5.9094
1.5,2.0,0.01,2.5,0.06,2.45,4.4,26.0,3.96,4.9896
1.5,2.0,0.01,2.5,0.08,2.61,4.2,31.0,3.52,4.6112
1.5,2.0,0.01,2.5,0.1,2.81,4.1,33.0,3.45,4.5885
1.5,2.0,0.015,1.5,0.06,2.49,5.5,27.0,3.64,4.6228
1.5,2.0,0.015,1.5,0.08,2.96,5.0,32.0,3.78,4.9896
1.5,2.0,0.015,1.5,0.1,3.22,4.7,34.0,3.91,5.2394
1.5,2.0,0.015,2.0,0.06,2.95,4.6,27.0,4.72,5.9944
1.5,2.0,0.015,2.0,0.08,3.04,4.3,32.0,4.21,5.5572
1.5,2.0,0.015,2.0,0.1,3.17,4.2,33.0,4.05,5.3865
1.5,2.0,0.015,2.5,0.06,2.43,4.5,26.0,4.01,5.0526
1.5,2.0,0.015,2.5,0.08,2.58,4.3,31.0,3.59,4.7029
1.5,2.0,0.015,2.5,0.1,2.79,4.1,33.0,3.5,4.655
1.5,2.0,0.02,1.5,0.06,2.4,5.7,27.0,3.78,4.8006
1.5,2.0,0.02,1.5,0.08,2.86,5.2,31.0,3.81,4.9911
1.5,2.0,0.02,1.5,0.1,3.11,4.9,34.0,3.86,5.1724
1.5,2.0,0.02,2.0,0.06,2.8,4.7,27.0,4.4,5.588
1.5,2.0,0.02,2.0,0.08,2.88,4.5,31.0,3.81,4.9911
1.5,2.0,0.02,2.0,0.1,3.03,4.3,33.0,3.62,4.8146
1.5,2.0,0.02,2.5,0.06,2.39,4.6,26.0,3.81,4.8006
1.5,2.0,0.02,2.5,0.08,2.56,4.3,31.0,3.33,4.3623
1.5,2.0,0.02,2.5,0.1,2.77,4.1,33.0,3.22,4.2826
1.5,2.5,0.01,1.5,0.06,2.64,4.7,26.0,3.54,4.4604
1.5,2.5,0.01,1.5,0.08,3.33,4.3,31.0,4.16,5.4496
1.5,2.5,0.01,1.5,0.1,3.56,4.2,36.0,4.58,6.2288
1.5,2.5,0.01,2.0,0.06,2.83,4.3,27.0,4.21,5.3467
1.5,2.5,0.01,2.0,0.08,3.16,4.0,32.0,4.23,5.5836
1.5,2.5,0.01,2.0,0.1,3.32,4.0,36.0,4.52,6.1472
1.5,2.5,0.01,2.5,0.06,2.21,4.3,25.0,3.05,3.8125
1.5,2.5,0.01,2.5,0.08,2.59,4.0,30.0,3.12,4.056
1.5,2.5,0.01,2.5,0.1,2.83,3.9,35.0,3.56,4.806
1.5,2.5,0.015,1.5,0.06,2.23,5.4,25.0,2.85,3.5625
1.5,2.5,0.015,1.5,0.08,2.9,4.8,30.0,3.39,4.407
1.5,2.5,0.015,1.5,0.1,3.23,4.6,35.0,4.04,5.454
1.5,2.5,0.015,2.0,0.06,2.71,4.4,26.0,3.94,4.9644
1.5,2.5,0.015,2.0,0.08,3.03,4.2,31.0,3.93,5.1483
1.5,2.5,0.015,2.0,0.1,3.19,4.1,35.0,4.22,5.697
1.5,2.5,0.015,2.5,0.06,2.19,4.4,25.0,3.1,3.875
1.5,2.5,0.015,2.5,0.08,2.57,4.1,30.0,3.18,4.134
1.5,2.5,0.015,2.5,0.1,2.81,4.0,35.0,3.61,4.8735
1.5,2.5,0.02,1.5,0.06,2.15,5.6,26.0,3.02,3.8052
1.5,2.5,0.02,1.5,0.08,2.8,5.1,30.0,3.46,4.498
1.5,2.5,0.02,1.5,0.1,3.13,4.7,35.0,4.02,5.427
1.5,2.5,0.02,2.0,0.06,2.56,4.6,25.0,3.64,4.55
1.5,2.5,0.02,2.0,0.08,2.87,4.3,31.0,3.57,4.6767
1.5,2.5,0.02,2.0,0.1,3.04,4.2,35.0,3.83,5.1705
1.5,2.5,0.02,2.5,0.06,2.15,4.4,25.0,2.9,3.625
1.5,2.5,0.02,2.5,0.08,2.54,4.1,30.0,2.92,3.796
1.5,2.5,0.02,2.5,0.1,2.78,4.0,35.0,3.33,4.4955
